fid1,iid1,fid2,iid2,m,ibd0,ibd1,ibd2
AFWO3422,AFWO3422,SNDI071907,SNDI071907,20,1,0,0
AFWO3422,AFWO3422,SNDI071908,SNDI071908,3.41888982477445,0.813,0.187,0
AFWO3422,AFWO3422,SNDI071909,SNDI071909,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,SNDI071910,SNDI071910,2.21424022557299,0.569,0.431,0
AFWO3422,AFWO3422,TGSH4238,TGSH4238,20,1,0,0
AFWO3422,AFWO3422,TGSH4239,TGSH4239,2.65744525452268,0.683,0.317,0
AFWO3422,AFWO3422,TGSH4240,TGSH4240,6.32192809488736,0.975,0.025,0
AFWO3422,AFWO3422,TGSH4241,TGSH4241,20,1,0,0
AFWO3422,AFWO3422,TGSH4242,TGSH4242,20,1,0,0
AFWO3422,AFWO3422,TGSH4243,TGSH4243,20,1,0,0
AFWO3422,AFWO3422,TGSH4244,TGSH4244,20,1,0,0
AFWO3422,AFWO3422,TGSH4245,TGSH4245,4.23786383009889,0.894,0.106,0
AFWO3422,AFWO3422,TGSH4246,TGSH4246,20,1,0,0
AFWO3422,AFWO3422,TGSH4247,TGSH4247,4.23786383009889,0.894,0.106,0
AFWO3422,AFWO3422,TGSH4248,TGSH4248,20,1,0,0
AFWO3422,AFWO3422,TGSH4249,TGSH4249,20,1,0,0
AFWO3422,AFWO3422,TGSH4250,TGSH4250,20,1,0,0
AFWO3422,AFWO3422,TGSH4251,TGSH4251,20,1,0,0
AFWO3422,AFWO3422,TGSH4252,TGSH4252,20,1,0,0
AFWO3422,AFWO3422,TGSH4253,TGSH4253,2.51457317282976,0.65,0.35,0
AFWO3422,AFWO3422,TGSH4254,TGSH4254,1.56704059272389,0.325,0.675,0
AFWO3422,AFWO3422,TGSH4255,TGSH4255,4.23786383009889,0.894,0.106,0
AFWO3422,AFWO3422,TGSH4256,TGSH4256,1.25670047211174,0.163,0.837,0
AFWO3422,AFWO3422,TGSH4257,TGSH4257,2.51457317282976,0.65,0.35,0
AFWO3422,AFWO3422,TGSH4258,TGSH4258,4.23786383009889,0.894,0.106,0
